Order,Tolerance,Fittted Par,Fit Type,Par Value (this fit),Par Value (original glm fit),Predicted alphaS (this fit),Predicted alphaS (glm fit),alphaS from Literature
Carnivora,constant,Tw,one profiled; rest of parameters constant,2,1.64,0.63,0.61,0.65
Carnivora,constant,Tv_human,one profiled; rest of parameters constant,1.39,1.48,0.65,0.61,0.65
Carnivora,constant,g0,one profiled; rest of parameters constant,0.05,0.05,0.63,0.61,0.65
Carnivora,constant,Tw,one profiled; glm fit rest of parameters,2,1.64,0.61,0.61,0.65
Carnivora,constant,Tv_human,one profiled; glm fit rest of parameters,1.3,1.48,0.64,0.61,0.65
Carnivora,constant,g0,one profiled; glm fit rest of parameters,0.05,0.05,0.64,0.61,0.65
Cetartiodactyla,constant,Tw,one profiled; rest of parameters constant,1,1.49,0.62,0.42,0.42
Cetartiodactyla,constant,Tv_human,one profiled; rest of parameters constant,2,1.48,0.56,0.42,0.42
Cetartiodactyla,constant,g0,one profiled; rest of parameters constant,0.03,0.03,0.43,0.42,0.42
Cetartiodactyla,constant,Tw,one profiled; glm fit rest of parameters,1.49,1.49,0.42,0.42,0.42
Cetartiodactyla,constant,Tv_human,one profiled; glm fit rest of parameters,1.47,1.48,0.42,0.42,0.42
Cetartiodactyla,constant,g0,one profiled; glm fit rest of parameters,0.03,0.03,0.43,0.42,0.42
Chiroptera,constant,Tw,one profiled; rest of parameters constant,2,2.01,0.63,1.01,1.01
Chiroptera,constant,Tv_human,one profiled; rest of parameters constant,1,1.48,0.76,1.01,1.01
Chiroptera,constant,g0,one profiled; rest of parameters constant,0.07,0.07,0.95,1.01,1.01
Chiroptera,constant,Tw,one profiled; glm fit rest of parameters,2,2.01,1.01,1.01,1.01
Chiroptera,constant,Tv_human,one profiled; glm fit rest of parameters,1.47,1.48,1.01,1.01,1.01
Chiroptera,constant,g0,one profiled; glm fit rest of parameters,0.07,0.07,0.95,1.01,1.01
Diprotodontia,constant,Tw,one profiled; rest of parameters constant,1,1.55,0.63,0.48,0.47
Diprotodontia,constant,Tv_human,one profiled; rest of parameters constant,2,1.11,0.57,0.48,0.47
Diprotodontia,constant,g0,one profiled; rest of parameters constant,0.03,0.03,0.43,0.48,0.47
Diprotodontia,constant,Tw,one profiled; glm fit rest of parameters,1,1.55,0.48,0.48,0.47
Diprotodontia,constant,Tv_human,one profiled; glm fit rest of parameters,1.2,1.11,0.47,0.48,0.47
Diprotodontia,constant,g0,one profiled; glm fit rest of parameters,0.03,0.03,0.5,0.48,0.47
Eulipotyphla,constant,Tw,one profiled; rest of parameters constant,1,1.36,0.66,0.9,0.54
